,Number of Features,Best Features,k Neighbors,Mean RMSE,SD RMSE
0,1,"['engine-size', 'curb-weight', 'horsepower']",2,2752.1887169763504,509.9821767706042
1,2,"['engine-size', 'curb-weight', 'horsepower']",2,2752.1887169763504,509.9821767706042
2,3,"['engine-size', 'curb-weight', 'horsepower']",2,2752.1887169763504,509.9821767706042
3,4,"['engine-size', 'curb-weight', 'horsepower']",2,2752.1887169763504,509.9821767706042
4,5,"['engine-size', 'curb-weight', 'horsepower']",2,2752.1887169763504,509.9821767706042
5,6,"['engine-size', 'curb-weight', 'horsepower']",2,2752.1887169763504,509.9821767706042
6,7,"['engine-size', 'curb-weight', 'horsepower']",2,2752.1887169763504,509.9821767706042
7,8,"['engine-size', 'curb-weight', 'horsepower']",2,2752.1887169763504,509.9821767706042
8,9,"['engine-size', 'curb-weight', 'horsepower']",2,2752.1887169763504,509.9821767706042
9,10,"['engine-size', 'curb-weight', 'horsepower']",2,2752.1887169763504,509.9821767706042
10,1,"['engine-size', 'curb-weight', 'horsepower']",3,2808.9457647960267,456.54995356517406
11,2,"['engine-size', 'curb-weight', 'horsepower']",3,2808.9457647960267,456.54995356517406
12,3,"['engine-size', 'curb-weight', 'horsepower']",3,2808.9457647960267,456.54995356517406
13,4,"['engine-size', 'curb-weight', 'horsepower']",3,2808.9457647960267,456.54995356517406
14,5,"['engine-size', 'curb-weight', 'horsepower']",3,2808.9457647960267,456.54995356517406
15,6,"['engine-size', 'curb-weight', 'horsepower']",3,2808.9457647960267,456.54995356517406
16,7,"['engine-size', 'curb-weight', 'horsepower']",3,2808.9457647960267,456.54995356517406
17,8,"['engine-size', 'curb-weight', 'horsepower']",3,2808.9457647960267,456.54995356517406
18,9,"['engine-size', 'curb-weight', 'horsepower']",3,2808.9457647960267,456.54995356517406
19,10,"['engine-size', 'curb-weight', 'horsepower']",3,2808.9457647960267,456.54995356517406
20,1,"['engine-size', 'curb-weight', 'horsepower']",4,2905.390475207737,594.801157613944
21,2,"['engine-size', 'curb-weight', 'horsepower']",4,2905.390475207737,594.801157613944
22,3,"['engine-size', 'curb-weight', 'horsepower']",4,2905.390475207737,594.801157613944
23,4,"['engine-size', 'curb-weight', 'horsepower']",4,2905.390475207737,594.801157613944
24,5,"['engine-size', 'curb-weight', 'horsepower']",4,2905.390475207737,594.801157613944
25,6,"['engine-size', 'curb-weight', 'horsepower']",4,2905.390475207737,594.801157613944
26,7,"['engine-size', 'curb-weight', 'horsepower']",4,2905.390475207737,594.801157613944
27,8,"['engine-size', 'curb-weight', 'horsepower']",4,2905.390475207737,594.801157613944
28,9,"['engine-size', 'curb-weight', 'horsepower']",4,2905.390475207737,594.801157613944
29,10,"['engine-size', 'curb-weight', 'horsepower']",4,2905.390475207737,594.801157613944
30,1,"['engine-size', 'curb-weight', 'horsepower']",1,2978.285076783426,601.1517515410385
31,2,"['engine-size', 'curb-weight', 'horsepower']",1,2978.285076783426,601.1517515410385
32,3,"['engine-size', 'curb-weight', 'horsepower']",1,2978.285076783426,601.1517515410385
33,4,"['engine-size', 'curb-weight', 'horsepower']",1,2978.285076783426,601.1517515410385
34,5,"['engine-size', 'curb-weight', 'horsepower']",1,2978.285076783426,601.1517515410385
35,6,"['engine-size', 'curb-weight', 'horsepower']",1,2978.285076783426,601.1517515410385
36,7,"['engine-size', 'curb-weight', 'horsepower']",1,2978.285076783426,601.1517515410385
37,8,"['engine-size', 'curb-weight', 'horsepower']",1,2978.285076783426,601.1517515410385
38,9,"['engine-size', 'curb-weight', 'horsepower']",1,2978.285076783426,601.1517515410385
39,10,"['engine-size', 'curb-weight', 'horsepower']",1,2978.285076783426,601.1517515410385
40,1,"['engine-size', 'curb-weight', 'horsepower']",5,3105.781126826649,277.2065355392483
41,2,"['engine-size', 'curb-weight', 'horsepower']",5,3105.781126826649,277.2065355392483
42,3,"['engine-size', 'curb-weight', 'horsepower']",5,3105.781126826649,277.2065355392483
43,4,"['engine-size', 'curb-weight', 'horsepower']",5,3105.781126826649,277.2065355392483
44,5,"['engine-size', 'curb-weight', 'horsepower']",5,3105.781126826649,277.2065355392483
45,6,"['engine-size', 'curb-weight', 'horsepower']",5,3105.781126826649,277.2065355392483
46,7,"['engine-size', 'curb-weight', 'horsepower']",5,3105.781126826649,277.2065355392483
47,8,"['engine-size', 'curb-weight', 'horsepower']",5,3105.781126826649,277.2065355392483
48,9,"['engine-size', 'curb-weight', 'horsepower']",5,3105.781126826649,277.2065355392483
49,10,"['engine-size', 'curb-weight', 'horsepower']",5,3105.781126826649,277.2065355392483
50,1,"['engine-size', 'curb-weight', 'horsepower']",6,3193.646879147584,157.90552592421923
51,2,"['engine-size', 'curb-weight', 'horsepower']",6,3193.646879147584,157.90552592421923
52,3,"['engine-size', 'curb-weight', 'horsepower']",6,3193.646879147584,157.90552592421923
53,4,"['engine-size', 'curb-weight', 'horsepower']",6,3193.646879147584,157.90552592421923
54,5,"['engine-size', 'curb-weight', 'horsepower']",6,3193.646879147584,157.90552592421923
55,6,"['engine-size', 'curb-weight', 'horsepower']",6,3193.646879147584,157.90552592421923
56,7,"['engine-size', 'curb-weight', 'horsepower']",6,3193.646879147584,157.90552592421923
57,8,"['engine-size', 'curb-weight', 'horsepower']",6,3193.646879147584,157.90552592421923
58,9,"['engine-size', 'curb-weight', 'horsepower']",6,3193.646879147584,157.90552592421923
59,10,"['engine-size', 'curb-weight', 'horsepower']",6,3193.646879147584,157.90552592421923
60,1,"['engine-size', 'curb-weight', 'horsepower']",7,3194.9597989697504,141.56575608814208
61,2,"['engine-size', 'curb-weight', 'horsepower']",7,3194.9597989697504,141.56575608814208
62,3,"['engine-size', 'curb-weight', 'horsepower']",7,3194.9597989697504,141.56575608814208
63,4,"['engine-size', 'curb-weight', 'horsepower']",7,3194.9597989697504,141.56575608814208
64,5,"['engine-size', 'curb-weight', 'horsepower']",7,3194.9597989697504,141.56575608814208
65,6,"['engine-size', 'curb-weight', 'horsepower']",7,3194.9597989697504,141.56575608814208
66,7,"['engine-size', 'curb-weight', 'horsepower']",7,3194.9597989697504,141.56575608814208
67,8,"['engine-size', 'curb-weight', 'horsepower']",7,3194.9597989697504,141.56575608814208
68,9,"['engine-size', 'curb-weight', 'horsepower']",7,3194.9597989697504,141.56575608814208
69,10,"['engine-size', 'curb-weight', 'horsepower']",7,3194.9597989697504,141.56575608814208
70,1,"['engine-size', 'curb-weight', 'horsepower']",8,3274.481021157652,85.2468335882991
71,2,"['engine-size', 'curb-weight', 'horsepower']",8,3274.481021157652,85.2468335882991
72,3,"['engine-size', 'curb-weight', 'horsepower']",8,3274.481021157652,85.2468335882991
73,4,"['engine-size', 'curb-weight', 'horsepower']",8,3274.481021157652,85.2468335882991
74,5,"['engine-size', 'curb-weight', 'horsepower']",8,3274.481021157652,85.2468335882991
75,6,"['engine-size', 'curb-weight', 'horsepower']",8,3274.481021157652,85.2468335882991
76,7,"['engine-size', 'curb-weight', 'horsepower']",8,3274.481021157652,85.2468335882991
77,8,"['engine-size', 'curb-weight', 'horsepower']",8,3274.481021157652,85.2468335882991
78,9,"['engine-size', 'curb-weight', 'horsepower']",8,3274.481021157652,85.2468335882991
79,10,"['engine-size', 'curb-weight', 'horsepower']",8,3274.481021157652,85.2468335882991
80,1,"['engine-size', 'curb-weight', 'horsepower']",9,3435.8631219157915,116.10744682749552
81,2,"['engine-size', 'curb-weight', 'horsepower']",9,3435.8631219157915,116.10744682749552
82,3,"['engine-size', 'curb-weight', 'horsepower']",9,3435.8631219157915,116.10744682749552
83,4,"['engine-size', 'curb-weight', 'horsepower']",9,3435.8631219157915,116.10744682749552
84,5,"['engine-size', 'curb-weight', 'horsepower']",9,3435.8631219157915,116.10744682749552
85,6,"['engine-size', 'curb-weight', 'horsepower']",9,3435.8631219157915,116.10744682749552
86,7,"['engine-size', 'curb-weight', 'horsepower']",9,3435.8631219157915,116.10744682749552
87,8,"['engine-size', 'curb-weight', 'horsepower']",9,3435.8631219157915,116.10744682749552
88,9,"['engine-size', 'curb-weight', 'horsepower']",9,3435.8631219157915,116.10744682749552
89,10,"['engine-size', 'curb-weight', 'horsepower']",9,3435.8631219157915,116.10744682749552
90,1,"['engine-size', 'curb-weight', 'horsepower']",10,3489.819742888958,188.80726431814864
91,2,"['engine-size', 'curb-weight', 'horsepower']",10,3489.819742888958,188.80726431814864
92,3,"['engine-size', 'curb-weight', 'horsepower']",10,3489.819742888958,188.80726431814864
93,4,"['engine-size', 'curb-weight', 'horsepower']",10,3489.819742888958,188.80726431814864
94,5,"['engine-size', 'curb-weight', 'horsepower']",10,3489.819742888958,188.80726431814864
95,6,"['engine-size', 'curb-weight', 'horsepower']",10,3489.819742888958,188.80726431814864
96,7,"['engine-size', 'curb-weight', 'horsepower']",10,3489.819742888958,188.80726431814864
97,8,"['engine-size', 'curb-weight', 'horsepower']",10,3489.819742888958,188.80726431814864
98,9,"['engine-size', 'curb-weight', 'horsepower']",10,3489.819742888958,188.80726431814864
99,10,"['engine-size', 'curb-weight', 'horsepower']",10,3489.819742888958,188.80726431814864
100,1,"['engine-size', 'curb-weight', 'horsepower']",11,3576.281745166228,220.4627748530149
101,2,"['engine-size', 'curb-weight', 'horsepower']",11,3576.281745166228,220.4627748530149
102,3,"['engine-size', 'curb-weight', 'horsepower']",11,3576.281745166228,220.4627748530149
103,4,"['engine-size', 'curb-weight', 'horsepower']",11,3576.281745166228,220.4627748530149
104,5,"['engine-size', 'curb-weight', 'horsepower']",11,3576.281745166228,220.4627748530149
105,6,"['engine-size', 'curb-weight', 'horsepower']",11,3576.281745166228,220.4627748530149
106,7,"['engine-size', 'curb-weight', 'horsepower']",11,3576.281745166228,220.4627748530149
107,8,"['engine-size', 'curb-weight', 'horsepower']",11,3576.281745166228,220.4627748530149
108,9,"['engine-size', 'curb-weight', 'horsepower']",11,3576.281745166228,220.4627748530149
109,10,"['engine-size', 'curb-weight', 'horsepower']",11,3576.281745166228,220.4627748530149
110,1,"['engine-size', 'curb-weight', 'horsepower']",12,3672.3651588840066,242.9950607256674
111,2,"['engine-size', 'curb-weight', 'horsepower']",12,3672.3651588840066,242.9950607256674
112,3,"['engine-size', 'curb-weight', 'horsepower']",12,3672.3651588840066,242.9950607256674
113,4,"['engine-size', 'curb-weight', 'horsepower']",12,3672.3651588840066,242.9950607256674
114,5,"['engine-size', 'curb-weight', 'horsepower']",12,3672.3651588840066,242.9950607256674
115,6,"['engine-size', 'curb-weight', 'horsepower']",12,3672.3651588840066,242.9950607256674
116,7,"['engine-size', 'curb-weight', 'horsepower']",12,3672.3651588840066,242.9950607256674
117,8,"['engine-size', 'curb-weight', 'horsepower']",12,3672.3651588840066,242.9950607256674
118,9,"['engine-size', 'curb-weight', 'horsepower']",12,3672.3651588840066,242.9950607256674
119,10,"['engine-size', 'curb-weight', 'horsepower']",12,3672.3651588840066,242.9950607256674
120,1,"['engine-size', 'curb-weight', 'horsepower']",13,3812.742632951338,247.55390976580156
121,2,"['engine-size', 'curb-weight', 'horsepower']",13,3812.742632951338,247.55390976580156
122,3,"['engine-size', 'curb-weight', 'horsepower']",13,3812.742632951338,247.55390976580156
123,4,"['engine-size', 'curb-weight', 'horsepower']",13,3812.742632951338,247.55390976580156
124,5,"['engine-size', 'curb-weight', 'horsepower']",13,3812.742632951338,247.55390976580156
125,6,"['engine-size', 'curb-weight', 'horsepower']",13,3812.742632951338,247.55390976580156
126,7,"['engine-size', 'curb-weight', 'horsepower']",13,3812.742632951338,247.55390976580156
